
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D4:A9:28:16:03:78, 2017-01-07 11:53:36, 2017-01-07 11:54:20,  1,  54, WPA2, CCMP,PSK, -34,      245,      312,   0.  0.  0.  0,  10, FiOS-07NHR, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8A:41:31:88:76:23, 2017-01-07 11:54:01, 2017-01-07 11:54:01, -67,        1, (not associated) ,
D8:49:2F:B2:B5:C8, 2017-01-07 11:53:39, 2017-01-07 11:54:11, -67,        6, (not associated) ,Stillwell-2G
90:09:17:DB:45:B4, 2017-01-07 11:53:38, 2017-01-07 11:54:09, -65,        2, 24:A4:3C:2B:7D:61,
00:40:96:47:A3:F5, 2017-01-07 11:53:41, 2017-01-07 11:54:14, -62,       11, (not associated) ,tsunami
AC:D1:B8:4F:3C:4F, 2017-01-07 11:53:55, 2017-01-07 11:53:55, -62,        1, (not associated) ,
58:20:B1:F1:0E:02, 2017-01-07 11:54:01, 2017-01-07 11:54:01, -54,        4, (not associated) ,New1stFloor
90:B6:86:22:05:11, 2017-01-07 11:53:55, 2017-01-07 11:53:55, -50,        4, (not associated) ,
6C:AD:F8:6F:8C:46, 2017-01-07 11:53:56, 2017-01-07 11:53:56, -48,        5, (not associated) ,SextantMarketing
92:68:C3:41:7B:D9, 2017-01-07 11:54:13, 2017-01-07 11:54:13, -38,        2, (not associated) ,
BC:F5:AC:F9:DC:1A, 2017-01-07 11:53:42, 2017-01-07 11:54:13, -34,        5, (not associated) ,
9C:D9:17:6E:AE:40, 2017-01-07 11:53:50, 2017-01-07 11:53:51, -26,       29, (not associated) ,LanesMotel,casas-guest,SundownLodge,Linksys08744,BW Paradise Inn,Lajitas General Store Wifi,linksys,NewThermostat_599088,Bluemoon-Presidio-WiFi,El Changarrito (Guest)
44:80:EB:23:DE:A8, 2017-01-07 11:53:44, 2017-01-07 11:54:20, -24,      303, D4:A9:28:16:03:78,FiOS-07NHR
28:84:FA:C1:E1:DB, 2017-01-07 11:53:42, 2017-01-07 11:54:17, -24,       44, (not associated) ,Bell Network
B8:E8:56:35:3D:68, 2017-01-07 11:54:01, 2017-01-07 11:54:18, -23,       11, (not associated) ,FiOS-07NHR-5G
80:D2:1D:00:97:DA, 2017-01-07 11:54:08, 2017-01-07 11:54:08, -16,       15, D4:A9:28:16:03:78,FiOS-07NHR
E8:3A:12:87:EB:41, 2017-01-07 11:53:37, 2017-01-07 11:54:20,  -8,     1194, D4:A9:28:16:03:78,FiOS-07NHR
54:27:1E:20:EE:36, 2017-01-07 11:54:14, 2017-01-07 11:54:20,  -6,       28, D4:A9:28:16:03:78,FiOS-07NHR
EC:1F:72:31:7F:5D, 2017-01-07 11:53:37, 2017-01-07 11:53:46,  -1,        6, 28:34:A2:48:11:28,
A4:70:D6:71:08:E3, 2017-01-07 11:54:01, 2017-01-07 11:54:01,  -1,        1, 28:34:A2:48:11:28,
4C:66:41:61:24:B6, 2017-01-07 11:54:02, 2017-01-07 11:54:11,  -1,        2, 28:34:A2:48:11:28,
C8:38:70:09:A3:B9, 2017-01-07 11:54:07, 2017-01-07 11:54:07,  -1,        1, 28:34:A2:48:11:28,
D0:13:FD:33:4F:6B, 2017-01-07 11:54:08, 2017-01-07 11:54:08,  -1,        1, 28:34:A2:48:11:28,
20:F4:1B:41:F1:F5, 2017-01-07 11:54:18, 2017-01-07 11:54:18,  -1,        2, F0:D1:A9:0F:46:46,

