
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:60:1F:2F:95:4A, 2017-01-04 20:48:14, 2017-01-04 20:49:33,  6,  54, WPA2, CCMP,PSK, -24,      636,       49,   0.  0.  0.  0,  15, PHANTOM3_2f954a, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A4:17:31:D7:58:01, 2017-01-04 20:48:26, 2017-01-04 20:48:27, -66,        2, 18:1B:EB:87:17:80,
74:D0:2B:3E:02:7B, 2017-01-04 20:49:20, 2017-01-04 20:49:33, -63,        3, 00:7F:28:DC:0F:02,
F8:04:2E:94:58:4F, 2017-01-04 20:48:49, 2017-01-04 20:49:21, -65,        6, (not associated) ,
BC:30:7D:2F:97:60, 2017-01-04 20:48:24, 2017-01-04 20:49:31, -60,       11, (not associated) ,FiOS-TOSRE
80:D2:1D:41:DF:0D, 2017-01-04 20:48:45, 2017-01-04 20:48:45, -58,        4, (not associated) ,FiOS-W952H
FC:DB:B3:BC:EA:25, 2017-01-04 20:48:40, 2017-01-04 20:49:29, -57,        5, (not associated) ,
74:DA:38:0C:F9:C8, 2017-01-04 20:49:03, 2017-01-04 20:49:03, -49,        6, (not associated) ,
E8:3A:12:87:EB:41, 2017-01-04 20:49:14, 2017-01-04 20:49:14, -26,        9, (not associated) ,
90:B6:86:22:05:11, 2017-01-04 20:48:16, 2017-01-04 20:49:31, -19,      360, 60:60:1F:2F:95:4A,PHANTOM3_2f954a
54:27:1E:20:EE:36, 2017-01-04 20:49:17, 2017-01-04 20:49:18, -14,        7, (not associated) ,FiOS-W952H
70:48:0F:D8:DB:3C, 2017-01-04 20:49:24, 2017-01-04 20:49:24,  -1,        1, 74:D0:2B:3E:02:7A,

