
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
18:1B:EB:26:93:C8, 2017-01-03 20:43:47, 2017-01-03 20:44:51,  6,  54, WPA2, CCMP,PSK, -51,      573,      124,   0.  0.  0.  0,  32, mobile_surveillance_drone_v2.1.9, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B8:EE:65:E1:79:45, 2017-01-03 20:44:15, 2017-01-03 20:44:47, -38,       29, 18:1B:EB:26:93:C8,
D0:22:BE:0C:CD:EF, 2017-01-03 20:43:47, 2017-01-03 20:44:48, -71,        7, (not associated) ,Timeinc_Guest
E8:AB:FA:85:F7:E3, 2017-01-03 20:43:47, 2017-01-03 20:44:51, -71,       18, 70:F1:96:11:12:AE,HGWL3
A4:EE:57:E5:AC:8F, 2017-01-03 20:44:07, 2017-01-03 20:44:47, -63,       11, (not associated) ,
00:34:DA:88:50:87, 2017-01-03 20:44:01, 2017-01-03 20:44:38, -69,        4, (not associated) ,
FC:15:B4:D0:F5:46, 2017-01-03 20:44:05, 2017-01-03 20:44:36, -65,       10, (not associated) ,FiOS-2G9QJ
CC:95:D7:D8:C6:A3, 2017-01-03 20:43:49, 2017-01-03 20:43:49, -62,        1, 70:F1:96:11:12:AE,
80:D2:1D:2A:AE:E3, 2017-01-03 20:44:45, 2017-01-03 20:44:45, -42,        7, 18:1B:EB:26:93:C8,mobile_surveillance_drone_v2.1.9
90:B6:86:22:05:11, 2017-01-03 20:43:47, 2017-01-03 20:44:50, -17,      429, 18:1B:EB:26:93:C8,mobile_surveillance_drone_v2.1.9
40:E2:30:3A:49:FD, 2017-01-03 20:43:51, 2017-01-03 20:44:51, -40,        6, (not associated) ,

